المنطقة,المدينة,السنة,ربع السنة,عدد الملاك الرجال,نسبة تملك الرجال
منطقة حائل,الحائط,2026,الربع الأول,15,88.24%
منطقة حائل,الروضة,2026,الربع الأول,103,91.15%
منطقة حائل,السليمي,2026,الربع الأول,39,84.78%
منطقة حائل,الشملى,2026,الربع الأول,66,97.06%
منطقة حائل,الشنان,2026,الربع الأول,140,93.96%
منطقة حائل,الغزاله,2026,الربع الأول,107,81.06%
منطقة حائل,الكهفه,2026,الربع الأول,20,86.96%
منطقة حائل,بقعاء,2026,الربع الأول,182,79.48%
منطقة حائل,حائل,2026,الربع الأول,742,73.03%
منطقة حائل,سميراء,2026,الربع الأول,6,100.00%
منطقة حائل,موقق,2026,الربع الأول,21,84.00%
منطقة عسير,ابها,2026,الربع الأول,228,71.25%
منطقة عسير,احد رفيده,2026,الربع الأول,44,86.27%
منطقة عسير,البرك,2026,الربع الأول,112,91.80%
منطقة عسير,البشائر,2026,الربع الأول,4,100.00%
منطقة عسير,المجارده,2026,الربع الأول,9,81.82%
منطقة عسير,النماص,2026,الربع الأول,14,87.50%
منطقة عسير,بارق,2026,الربع الأول,25,89.29%
منطقة عسير,باللسمر,2026,الربع الأول,9,90.00%
منطقة عسير,بلقرن,2026,الربع الأول,16,88.89%
منطقة عسير,بيشه,2026,الربع الأول,128,73.56%
منطقة عسير,تثليت,2026,الربع الأول,80,87.91%
منطقة عسير,خميس مشيط,2026,الربع الأول,316,77.26%
منطقة عسير,رجال المع,2026,الربع الأول,37,77.08%
منطقة عسير,سراة عبيده,2026,الربع الأول,12,70.59%
منطقة عسير,طريب,2026,الربع الأول,42,85.71%
منطقة عسير,ظهران الجنوب,2026,الربع الأول,12,85.71%
منطقة عسير,محايل عسير,2026,الربع الأول,102,88.70%
منطقة مكة المكرمه,الجموم,2026,الربع الأول,38,73.08%
منطقة مكة المكرمه,الخرمه,2026,الربع الأول,50,81.97%
منطقة مكة المكرمه,الطائف,2026,الربع الأول,564,80.11%
منطقة مكة المكرمه,العرضيه الجنوبيه,2026,الربع الأول,2,100.00%
منطقة مكة المكرمه,العرضيه الشماليه,2026,الربع الأول,4,80.00%
منطقة مكة المكرمه,القنفذه,2026,الربع الأول,88,77.88%
منطقة مكة المكرمه,الكامل,2026,الربع الأول,3,42.86%
منطقة مكة المكرمه,الليث,2026,الربع الأول,27,81.82%
منطقة مكة المكرمه,المويه,2026,الربع الأول,7,100.00%
منطقة مكة المكرمه,بحره,2026,الربع الأول,27,81.82%
منطقة مكة المكرمه,تربه,2026,الربع الأول,172,92.97%
منطقة مكة المكرمه,جده,2026,الربع الأول,"3,432",69.36%
منطقة مكة المكرمه,خليص,2026,الربع الأول,51,75.00%
منطقة مكة المكرمه,رابغ,2026,الربع الأول,118,80.82%
منطقة مكة المكرمه,رنيه,2026,الربع الأول,37,82.22%
منطقة مكة المكرمه,مكة المكرمة,2026,الربع الأول,"1,101",72.72%
منطقة مكة المكرمه,ميسان,2026,الربع الأول,3,100.00%
منطقة نجران,بدر الجنوب,2026,الربع الأول,11,100.00%
منطقة نجران,ثار,2026,الربع الأول,22,100.00%
منطقة نجران,حبونا,2026,الربع الأول,38,100.00%
منطقة نجران,شروره,2026,الربع الأول,49,79.03%
منطقة نجران,نجران,2026,الربع الأول,331,86.88%
منطقة نجران,يدمه,2026,الربع الأول,12,92.31%
